id;Date;City;Temperature
32385;26.06.2012;New York City;66.5
32386;27.06.2012;New York City;73.5
32387;28.06.2012;New York City;79.5
32388;29.06.2012;New York City;85.7
32389;30.06.2012;New York City;88.5
32390;01.07.2012;New York City;86.7
32391;02.07.2012;New York City;81.7
32392;03.07.2012;New York City;81.4
32393;04.07.2012;New York City;83.4
32394;05.07.2012;New York City;87.8
32395;06.07.2012;New York City;82.2
32396;07.07.2012;New York City;86.2
32397;08.07.2012;New York City;82.8
32398;09.07.2012;New York City;79.7
32399;10.07.2012;New York City;77.7
32400;11.07.2012;New York City;78.1
32401;12.07.2012;New York City;78.8
32402;13.07.2012;New York City;80.9
32403;14.07.2012;New York City;80.7
32404;15.07.2012;New York City;81.4
32405;16.07.2012;New York City;81.0
32406;17.07.2012;New York City;87.2
32407;18.07.2012;New York City;89.0
32408;19.07.2012;New York City;75.3
32409;20.07.2012;New York City;69.2
32410;21.07.2012;New York City;69.3
32411;22.07.2012;New York City;74.8
32412;23.07.2012;New York City;77.4
32413;24.07.2012;New York City;83.1
32414;25.07.2012;New York City;78.2
32415;26.07.2012;New York City;81.4
32416;27.07.2012;New York City;80.3
32417;28.07.2012;New York City;76.4
32418;29.07.2012;New York City;72.7
32419;30.07.2012;New York City;74.6
32420;31.07.2012;New York City;74.0
32421;01.08.2012;New York City;75.2
32422;02.08.2012;New York City;79.1
32423;03.08.2012;New York City;83.4
32424;04.08.2012;New York City;83.4
32425;05.08.2012;New York City;83.4
32426;06.08.2012;New York City;80.2
32427;07.08.2012;New York City;77.3
32428;08.08.2012;New York City;79.8
32429;09.08.2012;New York City;81.2
32430;10.08.2012;New York City;79.2
32431;11.08.2012;New York City;80.8
32432;12.08.2012;New York City;81.0
32433;13.08.2012;New York City;79.1
32434;14.08.2012;New York City;78.9
32435;15.08.2012;New York City;76.2
32436;16.08.2012;New York City;75.6
32437;17.08.2012;New York City;81.3
32438;18.08.2012;New York City;72.7
32439;19.08.2012;New York City;72.0
32440;20.08.2012;New York City;73.6
32441;21.08.2012;New York City;74.9
32442;22.08.2012;New York City;76.6
32443;23.08.2012;New York City;77.5
32444;24.08.2012;New York City;78.7
32445;25.08.2012;New York City;77.5
32446;26.08.2012;New York City;74.5
32447;27.08.2012;New York City;75.8
32448;28.08.2012;New York City;79.9
32449;29.08.2012;New York City;75.2
32450;30.08.2012;New York City;75.2
32451;31.08.2012;New York City;81.9
32452;01.09.2012;New York City;83.4
32453;02.09.2012;New York City;76.1
32454;03.09.2012;New York City;74.7
32455;04.09.2012;New York City;74.5
32456;05.09.2012;New York City;78.6
32457;06.09.2012;New York City;75.9
32458;07.09.2012;New York City;79.0
32459;08.09.2012;New York City;78.3
32460;09.09.2012;New York City;70.9
32461;10.09.2012;New York City;67.9
32462;11.09.2012;New York City;65.1
32463;12.09.2012;New York City;70.8
32464;13.09.2012;New York City;71.9
32465;14.09.2012;New York City;72.1
32466;15.09.2012;New York City;69.3
32467;16.09.2012;New York City;67.9
32468;17.09.2012;New York City;70.0
32469;18.09.2012;New York City;72.7
32470;19.09.2012;New York City;67.5
32471;20.09.2012;New York City;63.3
32472;21.09.2012;New York City;66.1
32473;22.09.2012;New York City;67.7
32474;23.09.2012;New York City;66.0
32475;24.09.2012;New York City;62.1
32476;25.09.2012;New York City;64.1
32477;26.09.2012;New York City;69.4
32478;27.09.2012;New York City;71.4
32479;28.09.2012;New York City;67.5
32480;29.09.2012;New York City;62.1
32481;30.09.2012;New York City;62.4
32482;01.10.2012;New York City;63.0
32483;02.10.2012;New York City;66.5
32484;03.10.2012;New York City;66.3
32485;04.10.2012;New York City;70.1
32486;05.10.2012;New York City;71.4
32487;06.10.2012;New York City;70.5
32488;07.10.2012;New York City;54.8
32489;08.10.2012;New York City;51.7
32490;09.10.2012;New York City;55.4
32491;10.10.2012;New York City;59.8
32492;11.10.2012;New York City;56.0
32493;12.10.2012;New York City;53.7
32494;13.10.2012;New York City;47.3
32495;14.10.2012;New York City;59.7
32496;15.10.2012;New York City;67.0
32497;16.10.2012;New York City;58.1
32498;17.10.2012;New York City;53.9
32499;18.10.2012;New York City;58.4
32500;19.10.2012;New York City;64.9
32501;20.10.2012;New York City;64.9
32502;21.10.2012;New York City;58.9
32503;22.10.2012;New York City;60.4
32504;23.10.2012;New York City;61.9
32505;24.10.2012;New York City;58.2
32506;25.10.2012;New York City;58.9
32507;26.10.2012;New York City;62.2
32508;27.10.2012;New York City;63.2
32509;28.10.2012;New York City;59.2
32510;29.10.2012;New York City;58.4
32511;30.10.2012;New York City;57.7
32512;31.10.2012;New York City;51.4
32513;01.11.2012;New York City;47.5
32514;02.11.2012;New York City;49.2
32515;03.11.2012;New York City;46.6
32516;04.11.2012;New York City;43.2
32517;05.11.2012;New York City;43.2
32518;06.11.2012;New York City;38.4
32519;07.11.2012;New York City;38.9
32520;08.11.2012;New York City;40.1
32521;09.11.2012;New York City;44.9
32522;10.11.2012;New York City;49.6
32523;11.11.2012;New York City;54.1
32524;12.11.2012;New York City;56.0
32525;13.11.2012;New York City;53.3
32526;14.11.2012;New York City;43.3
32527;15.11.2012;New York City;41.7
32528;16.11.2012;New York City;42.6
32529;17.11.2012;New York City;44.8
32530;18.11.2012;New York City;44.7
32531;19.11.2012;New York City;43.6
32532;20.11.2012;New York City;45.3
32533;21.11.2012;New York City;47.5
32534;22.11.2012;New York City;47.6
32535;23.11.2012;New York City;48.5
32536;24.11.2012;New York City;46.0
32537;25.11.2012;New York City;38.5
32538;26.11.2012;New York City;42.3
32539;27.11.2012;New York City;40.5
32540;28.11.2012;New York City;38.5
32541;29.11.2012;New York City;39.8
32542;30.11.2012;New York City;43.0
32543;01.12.2012;New York City;39.5
32544;02.12.2012;New York City;44.3
32545;03.12.2012;New York City;53.9
32546;04.12.2012;New York City;51.4
32547;05.12.2012;New York City;53.0
32548;06.12.2012;New York City;36.7
