Date,Country,State,City,AvgTemperature
01/01/2012,US,Alabama,Birmingham,59.1
02/01/2012,US,Alabama,Birmingham,43.0
03/01/2012,US,Alabama,Birmingham,30.9
04/01/2012,US,Alabama,Birmingham,34.7
05/01/2012,US,Alabama,Birmingham,44.1
06/01/2012,US,Alabama,Birmingham,46.3
07/01/2012,US,Alabama,Birmingham,60.6
08/01/2012,US,Alabama,Birmingham,57.4
09/01/2012,US,Alabama,Birmingham,59.8
10/01/2012,US,Alabama,Birmingham,59.4
11/01/2012,US,Alabama,Birmingham,56.4
12/01/2012,US,Alabama,Birmingham,46.8
13/01/2012,US,Alabama,Birmingham,31.6
14/01/2012,US,Alabama,Birmingham,37.7
15/01/2012,US,Alabama,Birmingham,44.0
16/01/2012,US,Alabama,Birmingham,51.0
17/01/2012,US,Alabama,Birmingham,59.3
18/01/2012,US,Alabama,Birmingham,50.1
19/01/2012,US,Alabama,Birmingham,40.8
20/01/2012,US,Alabama,Birmingham,57.9
21/01/2012,US,Alabama,Birmingham,64.2
22/01/2012,US,Alabama,Birmingham,54.1
23/01/2012,US,Alabama,Birmingham,66.2
24/01/2012,US,Alabama,Birmingham,52.6
25/01/2012,US,Alabama,Birmingham,57.6
26/01/2012,US,Alabama,Birmingham,63.8
27/01/2012,US,Alabama,Birmingham,51.7
28/01/2012,US,Alabama,Birmingham,46.0
29/01/2012,US,Alabama,Birmingham,40.5
30/01/2012,US,Alabama,Birmingham,44.7
31/01/2012,US,Alabama,Birmingham,52.8
01/02/2012,US,Alabama,Birmingham,58.5
02/02/2012,US,Alabama,Birmingham,59.7
03/02/2012,US,Alabama,Birmingham,55.9
04/02/2012,US,Alabama,Birmingham,60.7
05/02/2012,US,Alabama,Birmingham,57.9
06/02/2012,US,Alabama,Birmingham,49.5
07/02/2012,US,Alabama,Birmingham,47.9
08/02/2012,US,Alabama,Birmingham,49.8
09/02/2012,US,Alabama,Birmingham,41.4
10/02/2012,US,Alabama,Birmingham,43.4
11/02/2012,US,Alabama,Birmingham,38.4
12/02/2012,US,Alabama,Birmingham,29.5
13/02/2012,US,Alabama,Birmingham,34.8
14/02/2012,US,Alabama,Birmingham,43.5
15/02/2012,US,Alabama,Birmingham,47.4
16/02/2012,US,Alabama,Birmingham,58.3
17/02/2012,US,Alabama,Birmingham,53.9
18/02/2012,US,Alabama,Birmingham,54.0
19/02/2012,US,Alabama,Birmingham,48.9
20/02/2012,US,Alabama,Birmingham,42.9
21/02/2012,US,Alabama,Birmingham,56.0
22/02/2012,US,Alabama,Birmingham,58.7
23/02/2012,US,Alabama,Birmingham,68.2
24/02/2012,US,Alabama,Birmingham,64.0
25/02/2012,US,Alabama,Birmingham,45.2
26/02/2012,US,Alabama,Birmingham,50.7
27/02/2012,US,Alabama,Birmingham,58.1
28/02/2012,US,Alabama,Birmingham,58.9
29/02/2012,US,Alabama,Birmingham,65.1
