Date,Country,State,City,AvgTemperature
2012-01-03,US,Alabama,Birmingham,30.9
2012-01-04,US,Alabama,Birmingham,34.7
2012-01-13,US,Alabama,Birmingham,31.6
2012-02-12,US,Alabama,Birmingham,29.5
2012-02-13,US,Alabama,Birmingham,34.8
2012-12-27,US,Alabama,Birmingham,34.3
2012-12-30,US,Alabama,Birmingham,34.5
2012-01-03,US,Alabama,Huntsville,28.2
2012-01-04,US,Alabama,Huntsville,32.6
2012-01-13,US,Alabama,Huntsville,30.1
2012-02-11,US,Alabama,Huntsville,34.8
2012-02-12,US,Alabama,Huntsville,27.6
2012-02-13,US,Alabama,Huntsville,31.5
2012-12-30,US,Alabama,Huntsville,34.1
2012-01-04,US,Alabama,Montgomery,34.3
2012-02-12,US,Alabama,Montgomery,33.3
2012-01-01,US,Alaska,Anchorage,-1.2
2012-01-02,US,Alaska,Anchorage,-6.8
2012-01-03,US,Alaska,Anchorage,-3.2
2012-01-04,US,Alaska,Anchorage,0.2
2012-01-05,US,Alaska,Anchorage,0.9
2012-01-06,US,Alaska,Anchorage,10.8
2012-01-07,US,Alaska,Anchorage,3.5
2012-01-08,US,Alaska,Anchorage,14.7
2012-01-09,US,Alaska,Anchorage,3.6
2012-01-10,US,Alaska,Anchorage,7.3
2012-01-11,US,Alaska,Anchorage,27.0
2012-01-12,US,Alaska,Anchorage,23.7
2012-01-13,US,Alaska,Anchorage,10.3
2012-01-14,US,Alaska,Anchorage,3.0
